job_id,job_title,company,location,job_description,experience,education,salary,job_type,extracted_skills,skill_count
100001,Supply Chain Coordinator,Orbital Systems,"Mumbai, Maharashtra, India",We are looking for a motivated Supply Chain Coordinator to join our growing team. Responsibilities include: communicate with logistics partners to ensure timely deliveries; coordinate inventory management and shipment tracking across warehouses; support demand planning to optimize stock levels. Requirements: experience with vendor management and procurement; experience in logistics coordination and inventory management. We offer a collaborative environment and opportunities for professional growth.,Junior (1-3 years),Master's Degree,"USD 110,000-160,000",Part-time,[],0
100002,Backend Software Engineer,Vertex Financial Services,"San Francisco, CA, USA","Join us as a Backend Software Engineer and help drive our team's success. Responsibilities include: develop and maintain microservices deployed on Kubernetes; set up CI/CD pipelines to automate testing and deployment; write clean, testable code and participate in code reviews using Git. Requirements: experience working with AWS cloud services; solid experience with Java and Spring Boot. This role offers competitive benefits and a flexible work culture.",Entry level (0-1 years),Master's Degree,"EUR 55,000-90,000",Full-time,"['Java', 'AWS', 'Kubernetes', 'Git', 'CI/CD', 'Spring Boot']",6
100003,UX/UI Designer,Lumen Insurance,"Seattle, WA, USA",We are looking for a motivated UX/UI Designer to join our growing team. Responsibilities include: collaborate with product and engineering teams on interaction design; conduct user research and usability testing to inform design decisions; create wireframes and interactive prototypes using Figma. Requirements: experience conducting user research and usability testing; understanding of accessibility and visual design principles. We value continuous learning and provide support for career development.,Junior (1-3 years),"Master's Degree in Data Science, Statistics, or related field","USD 75,000-110,000",Full-time,['Figma'],1
100004,Data Scientist,Falconview Aerospace,"Toronto, Canada","We are seeking a talented Data Scientist who is passionate about delivering results. Responsibilities include: create dashboards and visualizations to communicate findings to stakeholders; design and evaluate A/B tests to measure product impact; collaborate with engineering teams to productionize models using TensorFlow or PyTorch. Requirements: hands-on experience with pandas, scikit-learn, and statistical modeling techniques; familiarity with deep learning frameworks such as TensorFlow or PyTorch. We offer a collaborative environment and opportunities for professional growth.",Senior (5-8 years),Bachelor's Degree,"GBP 45,000-75,000",Full-time,"['TensorFlow', 'PyTorch', 'Pandas', 'Scikit-learn', 'Deep Learning']",5
100005,Data Scientist,Amber Foods Co,"San Francisco, CA, USA",Join us as a Data Scientist and help drive our team's success. Responsibilities include: design and evaluate A/B tests to measure product impact; collaborate with engineering teams to productionize models using TensorFlow or PyTorch; create dashboards and visualizations to communicate findings to stakeholders. Requirements: familiarity with deep learning frameworks such as TensorFlow or PyTorch; strong proficiency in Python and SQL. We value continuous learning and provide support for career development.,Entry level (0-1 years),Master's Degree,"USD 75,000-110,000",Part-time,"['Python', 'SQL', 'TensorFlow', 'PyTorch', 'Deep Learning']",5
100006,Human Resources Business Partner,Vertex Financial Services,Remote,Our company is hiring an experienced Human Resources Business Partner to support key initiatives. Responsibilities include: ensure labor law compliance across all HR processes; manage the employee onboarding process end to end; partner with department leaders on talent acquisition and workforce planning. Requirements: understanding of labor law compliance requirements; working knowledge of HRIS systems and performance management processes. We value continuous learning and provide support for career development.,Executive (12+ years),Bachelor's Degree,"EUR 35,000-55,000",Full-time,[],0
100007,Supply Chain Coordinator,Quartz Data Systems,"Amsterdam, Netherlands",We are looking for a motivated Supply Chain Coordinator to join our growing team. Responsibilities include: support demand planning to optimize stock levels; identify opportunities for process improvement and cost analysis; work with SAP to manage procurement and vendor management processes. Requirements: experience in logistics coordination and inventory management; experience with vendor management and procurement. We value continuous learning and provide support for career development.,Mid level (3-5 years),High School Diploma,"USD 160,000-220,000",Full-time,['SAP'],1
100008,DevOps Engineer,Crestview Realty,"Vancouver, Canada",We are seeking a talented DevOps Engineer who is passionate about delivering results. Responsibilities include: build and maintain CI/CD pipelines with Jenkins; set up monitoring and alerting to ensure system reliability; containerize applications using Docker and orchestrate them with Kubernetes. Requirements: experience building CI/CD pipelines and automation scripts in Python; familiarity with monitoring and logging tools. This is a great opportunity to make an impact in a fast-paced environment.,Executive (12+ years),Diploma or equivalent professional certification,"USD 110,000-160,000",Full-time,"['Python', 'Kubernetes', 'Docker', 'CI/CD']",4
100009,Business Analyst,Cascade Cloud Inc,"Boston, MA, USA",We are looking for a motivated Business Analyst to join our growing team. Responsibilities include: gather and document business requirements from stakeholders; analyze data using SQL and Excel to identify process improvements; create process maps to visualize current and future state workflows. Requirements: strong SQL and Excel skills for data analysis; familiarity with Agile delivery and documentation practices. This is a great opportunity to make an impact in a fast-paced environment.,Junior (1-3 years),Diploma or equivalent professional certification,"USD 75,000-110,000",Full-time,"['SQL', 'Excel', 'Agile']",3
100010,Business Analyst,Fernwood Digital,"London, United Kingdom",We are looking for a motivated Business Analyst to join our growing team. Responsibilities include: gather and document business requirements from stakeholders; create process maps to visualize current and future state workflows; build reports and dashboards in Power BI to support decision-making. Requirements: familiarity with Agile delivery and documentation practices; experience in requirements gathering and process mapping. We value continuous learning and provide support for career development.,Senior (5-8 years),Master's Degree in Business Administration (MBA),"GBP 45,000-75,000",Full-time,"['Power BI', 'Agile']",2
